Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
04/11/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/12/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/13/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/16/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/17/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/18/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/19/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/20/2012,F (Jan 13),0.00,0.00,0.00,0.00,0.00,0.00,0,0,0
04/23/2012,F (Jan 13),0.00,0.00,0.00,0.00,27.15,27.15,0,0,0
04/24/2012,F (Jan 13),27.49,27.49,27.28,27.35,27.25,0.10,42,0,37
04/25/2012,F (Jan 13),26.86,27.00,26.77,26.77,26.70,-0.55,10,0,39
04/26/2012,F (Jan 13),26.60,26.60,26.55,26.55,26.60,-0.10,21,0,59
04/27/2012,F (Jan 13),26.55,26.92,26.55,26.60,26.60,0.00,23,0,72
04/30/2012,F (Jan 13),26.55,26.85,26.55,26.75,26.60,0.00,55,0,99
05/01/2012,F (Jan 13),26.65,26.65,26.29,26.33,26.45,-0.15,15,0,89
05/02/2012,F (Jan 13),26.59,26.59,26.20,26.20,26.50,0.05,10,0,89
05/03/2012,F (Jan 13),26.25,26.55,26.25,26.55,26.55,0.05,10,0,81
05/04/2012,F (Jan 13),26.80,26.85,26.64,26.79,26.85,0.30,17,0,91
05/07/2012,F (Jan 13),26.55,26.67,26.55,26.55,26.40,-0.45,7,0,93
05/08/2012,F (Jan 13),26.90,27.15,26.56,26.56,26.60,0.20,6,0,90
05/09/2012,F (Jan 13),27.00,27.00,26.71,26.90,27.05,0.45,53,0,118
05/10/2012,F (Jan 13),26.60,26.66,26.43,26.50,26.45,-0.60,20,0,134
05/11/2012,F (Jan 13),26.95,26.95,26.44,26.55,27.00,0.55,14,0,132
05/14/2012,F (Jan 13),27.51,27.75,27.19,27.75,27.90,0.90,115,0,190
05/15/2012,F (Jan 13),27.50,28.67,27.49,28.67,28.65,0.75,226,0,366
05/16/2012,F (Jan 13),28.30,29.20,28.29,29.13,29.15,0.50,145,0,455
05/17/2012,F (Jan 13),29.30,29.70,29.15,29.20,29.35,0.20,64,0,455
05/18/2012,F (Jan 13),29.35,30.07,29.15,30.07,30.15,0.80,87,0,510
05/21/2012,F (Jan 13),29.84,29.84,29.15,29.15,29.30,-0.85,92,0,511
05/22/2012,F (Jan 13),29.00,29.95,28.75,29.65,30.20,0.90,319,0,677
05/23/2012,F (Jan 13),30.00,30.07,29.28,29.28,29.25,-0.95,240,0,717
05/24/2012,F (Jan 13),29.12,29.61,28.80,29.14,29.35,0.10,169,0,757
05/25/2012,F (Jan 13),29.45,29.55,28.90,28.90,29.00,-0.35,55,0,775
05/29/2012,F (Jan 13),28.79,28.80,28.40,28.43,28.50,-0.50,206,0,854
05/30/2012,F (Jan 13),28.92,29.14,28.85,29.14,29.15,0.65,81,0,872
05/31/2012,F (Jan 13),29.45,29.55,28.80,29.23,29.40,0.25,203,0,930
06/01/2012,F (Jan 13),29.68,30.55,29.40,30.55,30.50,1.10,478,0,1073
06/04/2012,F (Jan 13),30.20,30.75,30.18,30.73,30.55,0.05,205,0,1152
06/05/2012,F (Jan 13),30.70,30.70,30.00,30.30,30.35,-0.20,215,0,1277
06/06/2012,F (Jan 13),29.98,30.05,29.69,29.75,29.90,-0.45,366,0,1339
06/07/2012,F (Jan 13),29.30,30.05,29.28,29.81,29.85,-0.05,276,0,1420
06/08/2012,F (Jan 13),29.97,30.17,28.83,28.84,28.90,-0.95,597,0,1499
06/11/2012,F (Jan 13),28.65,30.90,28.65,30.90,30.85,1.95,468,0,1539
06/12/2012,F (Jan 13),30.65,30.70,30.25,30.53,30.55,-0.30,486,0,1733
06/13/2012,F (Jan 13),30.65,31.32,30.60,31.30,31.30,0.75,622,0,2038
06/14/2012,F (Jan 13),31.30,31.30,30.15,30.40,30.55,-0.75,291,0,2181
06/15/2012,F (Jan 13),30.45,30.50,29.55,29.55,29.65,-0.90,823,0,2437
06/18/2012,F (Jan 13),29.40,30.10,29.00,29.25,29.20,-0.45,498,0,2660
06/19/2012,F (Jan 13),29.03,29.17,28.78,28.91,29.05,-0.15,982,0,3002
06/20/2012,F (Jan 13),28.85,29.25,28.25,28.39,28.40,-0.65,1691,0,3949
06/21/2012,F (Jan 13),28.45,29.60,27.95,29.33,29.35,0.95,3471,0,5443
06/22/2012,F (Jan 13),29.20,29.75,28.20,29.75,29.75,0.40,2660,0,6369
06/25/2012,F (Jan 13),29.40,29.65,28.90,29.57,29.60,-0.15,2059,0,7345
06/26/2012,F (Jan 13),29.35,29.60,28.60,29.00,29.00,-0.60,3670,5,8575
06/27/2012,F (Jan 13),28.80,28.95,28.50,28.67,28.70,-0.30,2666,0,9682
06/28/2012,F (Jan 13),28.65,29.10,28.20,28.39,28.40,-0.30,2302,0,10706
06/29/2012,F (Jan 13),27.75,27.80,27.40,27.63,27.65,-0.75,2884,0,12189
07/02/2012,F (Jan 13),27.30,27.50,26.85,27.14,27.15,-0.50,3331,0,13273
07/03/2012,F (Jan 13),27.05,27.15,26.57,26.62,26.65,-0.50,2339,0,13690
07/05/2012,F (Jan 13),26.65,27.30,26.65,26.83,26.85,0.20,2323,2,13891
07/06/2012,F (Jan 13),26.95,27.38,26.45,26.48,26.50,-0.35,1488,0,14455
07/09/2012,F (Jan 13),26.68,26.88,26.25,26.39,26.40,-0.10,1854,0,15105
07/10/2012,F (Jan 13),26.35,26.75,26.10,26.51,26.55,0.15,2717,0,15498
07/11/2012,F (Jan 13),26.41,26.60,25.88,26.19,26.20,-0.35,2432,0,16509
07/12/2012,F (Jan 13),26.35,26.79,25.95,26.33,26.35,0.15,2201,0,16927
07/13/2012,F (Jan 13),26.25,26.25,25.35,25.71,25.75,-0.60,2507,0,17843
07/16/2012,F (Jan 13),25.80,25.90,25.45,25.77,25.80,0.05,3007,0,18679
07/17/2012,F (Jan 13),25.55,25.75,25.00,25.22,25.25,-0.55,3528,0,19471
07/18/2012,F (Jan 13),25.25,25.50,25.00,25.41,25.45,0.20,2319,0,19664
07/19/2012,F (Jan 13),25.23,25.50,25.05,25.23,25.25,-0.20,1368,0,19750
07/20/2012,F (Jan 13),25.50,25.85,25.35,25.53,25.55,0.30,2978,0,19781
07/23/2012,F (Jan 13),26.50,26.90,26.15,26.45,26.45,0.90,2996,0,19827
07/24/2012,F (Jan 13),26.45,27.12,26.20,26.67,26.70,0.25,2259,0,19619
07/25/2012,F (Jan 13),26.65,26.90,26.20,26.50,26.50,-0.20,3156,0,20065
07/26/2012,F (Jan 13),25.97,26.15,25.35,25.46,25.45,-1.05,2687,0,20606
07/27/2012,F (Jan 13),25.21,25.65,25.00,25.57,25.60,0.15,2823,0,21231
07/30/2012,F (Jan 13),25.55,25.85,25.35,25.71,25.75,0.15,1778,69,21336
07/31/2012,F (Jan 13),25.72,26.19,25.60,26.05,26.05,0.30,2232,0,20936
08/01/2012,F (Jan 13),25.80,26.30,25.50,26.23,26.25,0.20,3460,0,21977
08/02/2012,F (Jan 13),25.90,26.70,25.75,26.14,26.15,-0.10,2507,0,21963
08/03/2012,F (Jan 13),25.88,25.93,25.25,25.32,25.30,-0.85,3964,0,22224
08/06/2012,F (Jan 13),25.00,25.30,24.90,25.20,25.20,-0.10,2986,0,22620
08/07/2012,F (Jan 13),25.10,25.60,24.90,25.38,25.40,0.20,2921,0,22571
08/08/2012,F (Jan 13),25.70,25.70,24.90,25.14,25.15,-0.25,2436,0,23044
08/09/2012,F (Jan 13),25.25,25.40,24.94,25.08,25.10,-0.05,1517,17,23307
08/10/2012,F (Jan 13),25.25,25.30,24.75,24.83,24.85,-0.25,2158,0,23506
08/13/2012,F (Jan 13),24.90,25.00,24.50,24.70,24.70,-0.15,4201,1150,24624
08/14/2012,F (Jan 13),24.59,25.25,24.50,25.12,25.15,0.45,3197,0,22801
08/15/2012,F (Jan 13),25.23,25.35,24.88,25.20,25.20,0.05,3037,34,22174
08/16/2012,F (Jan 13),25.10,25.40,25.05,25.06,25.10,-0.10,2605,136,23024
08/17/2012,F (Jan 13),25.20,25.35,24.85,24.94,24.95,-0.15,2672,108,23343
08/20/2012,F (Jan 13),24.90,25.30,24.90,25.28,25.30,0.35,2626,17,23333
08/21/2012,F (Jan 13),25.20,25.75,25.10,25.73,25.75,0.45,4759,0,24440
08/22/2012,F (Jan 13),25.80,26.05,25.35,25.64,25.65,-0.10,9893,27,27493
08/23/2012,F (Jan 13),25.60,26.10,25.60,26.00,26.00,0.35,5483,99,26709
08/24/2012,F (Jan 13),26.10,26.25,25.55,25.85,25.85,-0.15,4019,0,27613
08/27/2012,F (Jan 13),25.70,25.80,25.40,25.63,25.65,-0.20,3207,0,28164
08/28/2012,F (Jan 13),25.65,25.85,25.40,25.75,25.75,0.10,3264,53,28709
08/29/2012,F (Jan 13),25.75,25.85,25.34,25.76,25.80,0.05,3835,56,29401
08/30/2012,F (Jan 13),26.00,26.15,25.73,26.02,26.05,0.25,4655,0,29361
08/31/2012,F (Jan 13),25.64,25.90,25.32,25.58,25.60,-0.45,3594,17,30360
09/04/2012,F (Jan 13),25.55,25.90,25.40,25.53,25.55,-0.05,4246,0,30912
09/05/2012,F (Jan 13),25.60,25.70,25.00,25.08,25.10,-0.45,3957,0,31029
09/06/2012,F (Jan 13),24.81,24.92,23.90,24.01,24.05,-1.05,5746,0,31548
09/07/2012,F (Jan 13),23.85,23.85,23.19,23.25,23.25,-0.80,7741,0,33167
09/10/2012,F (Jan 13),23.25,23.80,23.06,23.62,23.65,0.40,4663,0,33520
09/11/2012,F (Jan 13),23.40,23.57,22.95,23.38,23.40,-0.25,7217,64,34120
09/12/2012,F (Jan 13),23.05,23.10,22.40,22.64,22.65,-0.75,8884,128,35776
09/13/2012,F (Jan 13),22.65,22.75,21.20,21.47,21.50,-1.15,10100,38,37153
09/14/2012,F (Jan 13),21.05,21.70,20.60,21.56,21.60,0.10,12750,32,39317
09/17/2012,F (Jan 13),21.54,21.55,21.00,21.39,21.40,-0.20,8717,0,38561
09/18/2012,F (Jan 13),21.35,21.60,20.89,20.95,20.95,-0.45,7023,0,38993
09/19/2012,F (Jan 13),20.75,21.05,20.50,20.78,20.80,-0.15,8428,0,39732
09/20/2012,F (Jan 13),20.90,21.17,20.70,20.87,20.90,0.10,7332,0,39511
09/21/2012,F (Jan 13),20.70,21.00,20.55,20.92,20.95,0.05,6005,0,38981
09/24/2012,F (Jan 13),20.90,20.90,20.45,20.72,20.70,-0.25,6820,25,38569
09/25/2012,F (Jan 13),20.55,21.35,20.33,21.08,21.10,0.40,8731,0,37089
09/26/2012,F (Jan 13),21.05,21.90,21.05,21.43,21.45,0.35,8267,113,36100
09/27/2012,F (Jan 13),21.20,21.30,20.45,20.72,20.75,-0.70,7638,0,35586
09/28/2012,F (Jan 13),21.10,21.12,20.65,20.91,20.90,0.15,8500,55,35105
10/01/2012,F (Jan 13),20.70,21.00,20.30,20.82,20.85,-0.05,8215,0,35982
10/02/2012,F (Jan 13),20.75,20.95,20.44,20.66,20.70,-0.15,6405,0,36128
10/03/2012,F (Jan 13),20.80,20.85,20.26,20.49,20.50,-0.20,8082,0,37483
10/04/2012,F (Jan 13),20.35,20.39,19.90,19.99,20.00,-0.50,6637,18,37358
10/05/2012,F (Jan 13),19.90,20.02,19.45,19.81,19.85,-0.15,8883,0,38521
10/08/2012,F (Jan 13),20.02,20.05,19.80,19.81,19.85,0.00,5992,0,39360
10/09/2012,F (Jan 13),19.81,20.37,19.65,20.13,20.15,0.30,8109,12,39018
10/10/2012,F (Jan 13),20.20,20.45,20.03,20.38,20.40,0.25,9556,0,39291
10/11/2012,F (Jan 13),20.20,20.25,19.68,19.92,19.95,-0.45,9216,0,39190
10/12/2012,F (Jan 13),19.80,20.15,19.54,20.02,20.05,0.10,15825,0,38546
10/15/2012,F (Jan 13),19.70,20.14,19.50,19.68,19.70,-0.35,11144,1,38597
10/16/2012,F (Jan 13),19.35,19.47,19.14,19.20,19.20,-0.50,8609,4,38875
10/17/2012,F (Jan 13),19.10,19.44,18.95,19.00,19.00,-0.20,9766,87,39086
10/18/2012,F (Jan 13),19.05,19.40,18.90,19.17,19.20,0.20,10934,0,41209
10/19/2012,F (Jan 13),19.20,20.17,19.10,19.99,20.00,0.80,12850,0,42235
10/22/2012,F (Jan 13),19.75,20.15,19.50,19.57,19.60,-0.40,12664,0,43311
10/23/2012,F (Jan 13),20.05,21.25,20.05,20.60,20.60,1.00,16339,0,42356
10/24/2012,F (Jan 13),20.38,20.55,20.08,20.33,20.35,-0.25,12077,0,42204
10/25/2012,F (Jan 13),20.05,20.54,19.85,20.15,20.15,-0.20,11845,0,42066
